date,cell_ll_lat,cell_ll_lon,mmsi,hours,fishing_hours
2020-06-21,3.5,-166.9,416623000,0.5175,0
2020-06-21,3.5,-166.9,416710000,0.3263,0
2020-06-21,3.5,78.4,417000403,21.0902,0
2020-06-21,3.5,77.7,417000528,4.6275,4.6275
2020-06-21,3.5,145.6,431680480,1.6427,1.6427
2020-06-21,3.5,-19,432045000,0.5791,0
2020-06-21,3.5,-19.5,432458000,0.5172,0
2020-06-21,3.5,-145.6,440894000,2.4672,2.4005
2020-06-21,3.5,-145.7,440894000,1.7155,1.7155
2020-06-21,3.5,-141.5,440954000,0.4719,0.4719
2020-06-21,3.5,169.4,544112120,1.5361,0
2020-06-21,3.5,1.7,627163000,1.1513,0.4441
2020-06-21,3.5,1.4,627163000,0.4408,0
2020-06-21,3.5,-2.3,627179000,0.1336,0
2020-06-21,3.5,-2.4,627179000,0.2352,0
2020-06-21,3.5,-1.9,627997000,4.1091,0
2020-06-21,3.5,-21.1,636083839,0.5769,0.5769
2020-06-21,3.5,-21,636083839,0.9705,0.9705
2020-06-21,3.5,68.5,664631000,27.2902,27.2902
2020-06-21,-3.5,0.2,224020890,1.7333,0
2020-06-21,-3.5,0.4,224020890,0.4994,0
2020-06-21,-3.5,0.3,224020890,2.0652,0
2020-06-21,-3.5,0.1,224020890,1.0813,0
2020-06-21,-3.5,-97.4,263821000,0.7055,0
2020-06-21,-3.5,-97.5,263821000,0.0302,0
2020-06-21,-3.5,10.4,412200868,15.9972,15.9972
2020-06-21,-3.5,10.5,412200868,4.1919,4.1919
2020-06-21,-3.5,10.5,412200872,0.4086,0.4086
2020-06-21,-3.5,10.4,412200872,3.4058,3.4058
2020-06-21,-3.5,-84.8,412322120,1.2561,0
2020-06-21,-3.5,-84.7,412328799,1.8394,1.0333
2020-06-21,-3.5,-84.8,412329462,0.8366,0
2020-06-21,-3.5,-84.8,412329463,6.5166,0
2020-06-21,-3.5,-84.7,412329632,0.398,0
2020-06-21,-3.5,-84.7,412329652,0.0975,0
2020-06-21,-3.5,-84.8,412329652,0.5636,0
2020-06-21,-3.5,-84.7,412329653,0.5872,0
2020-06-21,-3.5,-84.7,412354049,11.3255,0
2020-06-21,-3.5,-84.7,412401220,0.175,0
2020-06-21,-3.5,-84.8,412401220,0.743,0
2020-06-21,-3.5,-84.9,412420248,2.5341,0
2020-06-21,-3.5,-84.7,412420253,1.2769,0
2020-06-21,-3.5,-84.9,412420288,0.5758,0
2020-06-21,-3.5,-84.7,412420312,0.6405,0
2020-06-21,-3.5,-84.8,412420466,3.8883,0
2020-06-21,-3.5,-84.6,412420646,0.6005,0
2020-06-21,-3.5,-84.7,412420646,0.6613,0
2020-06-21,-3.5,-84.7,412420933,2.8227,0
2020-06-21,-3.5,-84.8,412420958,0.8149,0
2020-06-21,-3.5,-84.9,412420967,0.8577,0
